Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
Africa,Ghana,Upper East,XYZ Tech,4,Lenovo,ThinkPad X13 Yoga,SSD,Kevin Lee,Returns,6466,9048,Cash,803,2023-07-06,2023-07-14,0,16GB,685,Online,Low,0,955,8823,500GB
Africa,Morocco,Kenitra,Jacks Hardware,6,Dell,Precision,HDD,Amy Owens,New Sales,24519,26768,Finance,201,2023-04-29,2023-05-21,29024,16GB,782,Online,Medium,0,983,26325,1TB
Africa,Tanzania,Mtwara,GH PC Shop,10,Microsoft,Surface Pro,HDD,Mary Fisher,Repairs,23367,27513,Cash,232,2021-08-12,,0,4GB,423,Offline,Medium,4570,378,24109,1TB
North America,Pennsylvania,Johnstown,A & A PCs,9,Asus,ROG Zephyrus S GX701,SSD,Julia Dodson,Second-hand Sales,21946,25723,Bank Transfer,203,2022-08-19,,0,8GB,533,Offline,Medium,0,661,23419,500GB
Africa,Nigeria,Borno,ABC Computers,5,Asus,ProArt StudioBook Pro X,HDD,Timothy Leach,Second-hand Sales,26724,31139,Cash,150,2021-09-29,,0,16GB,446,Offline,Low,0,822,28481,256GB
Africa,Tanzania,Mwanza,Ricks Computers,8,Toshiba,Qosmio,HDD,David Osborn,Returns,5318,7653,Cash,6,2023-12-14,,0,4GB,715,Offline,High,0,876,7199,256GB
North America,Ohio,Westerville,A & A PCs,10,Acer,Predator Triton 500,SSD,Jason Gentry,Repairs,18832,21802,Finance,201,2023-05-06,,28027,4GB,405,Offline,Low,3346,132,19928,256GB
Africa,South Africa,Gauteng,KyaSand Tech Gadgets,8,Lenovo,ThinkPad T14,HDD,Mrs. Barbara Davenport,Second-hand Sales,6885,8948,Bank Transfer,383,2023-08-08,2023-09-05,0,2GB,529,Online,High,0,472,7482,500GB
Africa,Nigeria,Sokoto,DEF Machines,9,Asus,VivoBook S14,SSD,Lisa Morgan,Returns,10024,13841,Bank Transfer,632,2021-08-04,,0,16GB,782,Offline,Medium,0,491,12728,500GB
Africa,Kenya,Nyeri,S & A Computer Place,5,Toshiba,Qosmio,HDD,David Ellis,Returns,22022,24788,Cash,909,2022-02-10,,0,16GB,623,Offline,Low,0,97,24685,500GB
Africa,South Africa,Northern Cape,Jacks Hardware,3,MSI,GE76 Raider,SSD,Mary Nelson,New Sales,18788,21357,Cash,338,2023-05-04,,0,2GB,642,Offline,Low,0,982,20287,256GB
North America,North Carolina,Morganton,GH PC Shop,9,MSI,GE76 Raider,SSD,Morgan Moore,New Sales,14307,17436,Bank Transfer,941,2023-04-20,2023-05-20,0,16GB,609,Online,Medium,0,319,15616,500GB
Africa,Angola,Huila,GHI Machines,9,HP,Probook,HDD,Cassidy Mason,Second-hand Sales,29677,32562,Finance,725,2022-12-05,2022-12-27,44142,16GB,532,Online,High,0,198,29708,500GB
Africa,Ethiopia,Afar,Jacks Hardware,1,Lenovo,ThinkPad T14,HDD,Alexa Hopkins,Returns,20561,24439,Finance,73,2023-12-01,,2896,16GB,616,Offline,Medium,0,521,23280,1TB
Africa,Morocco,Azilal,S & A Computer Place,4,MSI,Alpha 15,HDD,Emma Scott,Returns,28098,31040,Bank Transfer,901,2023-12-19,2024-01-07,0,4GB,580,Online,Medium,0,671,29696,500GB
North America,North Carolina,Havelock,LJ Computers,6,Apple,Apple Mac Pro,SSD,Tony Valenzuela,Returns,6881,11746,Cash,62,2021-09-12,2021-09-15,0,2GB,418,Online,Medium,0,682,8064,1TB
North America,Texas,Abilene,A & A PCs,2,Lenovo,Legion 5,SSD,Diana Rodriguez,New Sales,18701,22222,Finance,318,2023-02-13,2023-02-23,5823,2GB,761,Online,Low,0,523,22000,1TB
Africa,Botswana,Central,Western International PCs,2,Samsung,Notebook 5,HDD,Melissa Dunn,Second-hand Sales,11714,13926,Finance,515,2022-08-01,,47675,4GB,706,Offline,High,0,671,12532,256GB
Africa,Tanzania,Manyara,DEF Machines,2,Dell,Precision,SSD,Jennifer Morales,Repairs,9261,14136,Bank Transfer,410,2023-05-26,2023-06-18,0,16GB,760,Online,Low,4931,557,10948,1TB
Africa,Kenya,Siaya,Jacks Hardware,9,HP,Elitebook,HDD,Tonya Nolan,New Sales,17758,22498,Cash,112,2024-01-02,2024-01-30,0,16GB,728,Online,Low,0,816,20454,256GB
Africa,Nigeria,Zamfara,GH PC Shop,4,HP,Spectre,HDD,Diana Waters,Second-hand Sales,26343,28768,Bank Transfer,333,2021-04-15,,0,16GB,440,Offline,Low,0,807,27529,500GB
Africa,Kenya,Bungoma,DEF Machines,4,Microsoft,Surface Hub,SSD,Amy Johnson,Repairs,28302,30373,Bank Transfer,520,2022-05-01,2022-05-07,0,2GB,595,Online,High,2589,981,30011,500GB
Africa,Angola,Benguela,DEF Machines,8,Microsoft,Surface Neo,HDD,Cassidy Mason,New Sales,21491,25949,Bank Transfer,593,2023-12-11,,0,4GB,496,Offline,High,0,743,22822,500GB
Africa,South Africa,Northern Cape,ABC Computers,3,Toshiba,Qosmio,SSD,Pamela Zavala,Repairs,26025,29391,Finance,830,2023-10-26,,16614,2GB,473,Offline,Medium,3516,722,28243,1TB
Africa,Nigeria,Borno,XYZ Tech,2,Acer,Predator Triton 500,HDD,Diana Waters,Returns,5202,9678,Finance,174,2023-05-15,,41579,4GB,537,Offline,High,0,817,6184,1TB
Africa,Tanzania,Mara,CK Tech Store,3,Microsoft,Surface Pro,SSD,Mary Fisher,New Sales,17782,21769,Bank Transfer,897,2022-05-26,,0,16GB,678,Offline,Low,0,697,18410,500GB
North America,California,San Diego,LJ Computers,7,Asus,TUF Gaming A15,HDD,Joy Holt,Repairs,20574,22717,Cash,951,2022-08-06,,0,4GB,545,Offline,Medium,1095,789,20581,1TB
North America,Georgia,Douglasville,Greens Laptops and PCs,6,Acer,Aspire 7,SSD,Michael Collins,New Sales,4317,8816,Cash,101,2022-01-20,2022-02-13,0,16GB,782,Online,Medium,0,703,4400,256GB
Africa,Nigeria,Yobe,XYZ Tech,5,MSI,GS66 Stealth,SSD,Lisa Morgan,Returns,12863,15128,Cash,727,2021-03-15,,0,8GB,789,Offline,Medium,0,424,13600,1TB
Africa,Morocco,Fahs Anjra,Western International PCs,4,Samsung,Notebook 9 Pro,SSD,Amy Owens,Returns,8835,11009,Finance,506,2022-03-30,,12253,16GB,798,Offline,Low,0,87,9258,1TB
North America,Michigan,East Lansing,CK Tech Store,3,HP,Envy,HDD,Erika Larsen,Second-hand Sales,13588,16477,Bank Transfer,668,2023-04-26,2023-05-26,0,8GB,567,Online,High,0,157,13931,256GB
Africa,Nigeria,Niger,Mini Tech,6,Samsung,Galaxy Chromebook 2,HDD,Lisa Morgan,Returns,17133,19196,Bank Transfer,202,2021-06-20,,0,16GB,504,Offline,High,0,856,18358,256GB
North America,California,Stockton,Western International PCs,4,Acer,Spin 5,HDD,Rachel Mitchell,Second-hand Sales,24024,27975,Bank Transfer,790,2023-05-22,,0,16GB,544,Offline,High,0,938,27712,1TB
North America,Illinois,Berwyn,Jacks Hardware,8,Lenovo,IdeaCentre AIO 3,SSD,Jason Phillips,New Sales,24764,28518,Bank Transfer,309,2023-12-25,,0,2GB,618,Offline,Medium,0,593,24785,256GB
North America,California,Chula Vista,ABC Computers,8,MSI,GS66 Stealth,HDD,Alyssa Martinez,Repairs,7557,11725,Cash,14,2023-10-27,2023-11-26,0,8GB,429,Online,High,3299,977,8998,1TB
North America,Michigan,Royal Oak,A & A PCs,4,Apple,Apple iMac,HDD,Allen Juarez,Returns,25977,29202,Finance,634,2022-11-17,,21373,8GB,589,Offline,Medium,0,363,27854,1TB
Africa,Kenya,Nakuru,Jacks Hardware,4,Asus,ROG Strix Scar III,HDD,Kenneth Moore,New Sales,19361,21367,Bank Transfer,380,2022-01-22,2022-02-06,0,2GB,740,Online,High,0,977,19877,500GB
Africa,Tanzania,Pemba Kusini,Frankies Hardware and Software,6,Apple,Apple PowerBook G4,SSD,Alicia Evans,New Sales,17109,20011,Cash,699,2022-10-07,2022-10-26,0,16GB,778,Online,High,0,306,19402,256GB
North America,Florida,Hialeah,Ricks Computers,2,Microsoft,Surface Book,SSD,Alexis Murray,Second-hand Sales,20756,22946,Bank Transfer,179,2022-06-19,2022-07-08,0,4GB,518,Online,Medium,0,321,22856,500GB
North America,California,Irvine,KyaSand Tech Gadgets,10,Samsung,Notebook Odyssey,HDD,Larry Smith,Second-hand Sales,10910,14333,Finance,729,2021-06-16,,17276,2GB,544,Offline,Medium,0,101,12247,500GB
Africa,Morocco,Ouezzane,LJ Computers,4,Dell,Precision,SSD,Gina Day,Second-hand Sales,15191,18781,Bank Transfer,84,2023-04-17,,0,4GB,740,Offline,High,0,825,18164,256GB
Africa,South Africa,Gauteng,Greens Laptops and PCs,9,Asus,ZenBook Flip S UX371,SSD,Mary Nelson,Returns,6794,10781,Finance,688,2021-06-01,,37658,4GB,428,Offline,High,0,143,10101,500GB
North America,Illinois,Orland Park,ABC Computers,8,Lenovo,ThinkPad T14,HDD,Glenda Cohen,Repairs,25958,29343,Cash,121,2021-11-08,2021-12-07,0,16GB,657,Online,High,2046,434,27024,500GB
Africa,Nigeria,Ondo,Ricks Computers,10,HP,Spectre,HDD,Mary Shaw,New Sales,16949,19423,Finance,51,2021-12-16,,18995,4GB,817,Offline,Low,0,733,18827,500GB
North America,Illinois,Berwyn,GH PC Shop,6,Asus,VivoBook S14,HDD,Daniel Serrano,Repairs,28751,30808,Finance,618,2022-07-11,2022-07-13,11175,4GB,761,Online,Medium,4951,247,29698,256GB
Africa,Kenya,Tharaka-Nithi,DEF Machines,3,Apple,Apple Macintosh Classic,HDD,Cassandra Mcmillan,Repairs,15261,19210,Bank Transfer,971,2023-01-01,2023-01-05,0,2GB,785,Online,Medium,1815,736,17590,256GB
Africa,Botswana,Ghanzi,Greens Laptops and PCs,9,Lenovo,ThinkCentre M920 Tiny,SSD,Sarah Riley,Repairs,17334,22130,Bank Transfer,297,2023-02-01,2023-02-22,0,4GB,689,Online,Low,4934,130,21342,256GB
Africa,Ghana,Northern,Ricks Computers,2,Asus,VivoBook S14,HDD,Troy Howell,New Sales,21520,26144,Bank Transfer,631,2023-10-27,2023-11-20,0,16GB,815,Online,Low,0,370,24367,256GB
North America,Illinois,Waukegan,ABC Computers,5,Asus,ExpertBook B9,SSD,Ashley Jones,Second-hand Sales,11127,15831,Finance,20,2021-05-10,2021-05-16,18443,8GB,522,Online,Medium,0,432,13309,1TB
Africa,Kenya,Kitui,ABC Computers,3,MSI,Alpha 15,HDD,Kenneth Moore,Returns,13849,16865,Cash,938,2023-10-01,,0,4GB,516,Offline,Low,0,969,16161,1TB
North America,California,Fresno,CK Tech Store,10,Toshiba,Dynabook,SSD,Joe Black,Returns,24130,27031,Cash,909,2023-10-19,2023-11-08,0,2GB,497,Online,Low,0,668,26663,256GB
North America,North Carolina,Gastonia,Benjis Tech,9,Acer,Chromebook Spin 311,HDD,Craig Wheeler,New Sales,19746,23575,Finance,141,2021-06-01,,34519,2GB,431,Offline,Medium,0,546,21275,500GB
North America,North Carolina,Salisbury,Greens Laptops and PCs,4,Microsoft,Surface Pro,HDD,Brittany Franklin,New Sales,25966,30237,Finance,78,2023-11-18,,5254,2GB,809,Offline,Medium,0,153,28403,1TB
Africa,Angola,Namibe,GH PC Shop,7,Samsung,Galaxy Chromebook 2,HDD,Hector Robertson,Returns,25099,28049,Finance,978,2022-07-04,,25441,4GB,572,Offline,Low,0,191,25475,500GB
North America,North Carolina,Concord,Jacks Hardware,2,Asus,ROG Zephyrus S GX701,HDD,Brady Walton,Second-hand Sales,18280,22734,Finance,949,2024-03-03,2024-03-10,12154,4GB,548,Online,Medium,0,26,21566,500GB
North America,Illinois,Arlington Heights,Jacks Hardware,4,Acer,Aspire E 15,HDD,Kathleen Robinson,Second-hand Sales,12228,14807,Bank Transfer,718,2024-02-03,,0,16GB,613,Offline,High,0,436,12942,256GB
Africa,Ghana,Central,ABC Computers,5,Samsung,Notebook 9,SSD,Jonathan Miller,New Sales,21440,25392,Finance,39,2023-03-07,2023-03-21,49235,4GB,628,Online,High,0,520,23006,256GB
North America,California,San Bernardino,GH PC Shop,1,Lenovo,ThinkPad P15s,SSD,Sean Rodriguez,New Sales,11092,14853,Finance,973,2023-06-02,2023-06-09,23344,4GB,784,Online,Medium,0,676,13664,1TB
North America,Illinois,Arlington Heights,KyaSand Tech Gadgets,2,MSI,GP65 Leopard,HDD,Amanda Mitchell,New Sales,27622,32021,Cash,886,2023-07-21,,0,2GB,651,Offline,Medium,0,162,28996,1TB
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",LJ Computers,7,Toshiba,Dynabook,HDD,Michael Summers,Second-hand Sales,11821,15554,Finance,168,2022-01-08,2022-01-27,37332,2GB,516,Online,High,0,823,13995,500GB
Africa,Botswana,Kweneng,A & A PCs,7,HP,Stream,HDD,Michael Byrd,New Sales,13832,16760,Cash,324,2021-08-08,,0,2GB,689,Offline,Medium,0,488,15241,1TB
Africa,South Africa,Northern Cape,ABC Computers,6,Microsoft,Surface Book,HDD,Carol Smith,Repairs,13214,16078,Bank Transfer,850,2023-08-08,,0,16GB,667,Offline,High,1140,817,13588,256GB
Africa,Ghana,Western,XYZ Tech,3,Dell,Venue,SSD,Amanda Hurley,New Sales,20746,24938,Cash,298,2023-08-17,,0,16GB,741,Offline,Low,0,669,21980,256GB
Africa,Morocco,Guelmim,XYZ Tech,10,Toshiba,Satellite,SSD,Kelly Mitchell,Repairs,8839,13271,Bank Transfer,704,2022-04-06,,0,8GB,568,Offline,Low,3891,317,12164,1TB
North America,New York,Mount Vernon,ABC Computers,7,Acer,ConceptD 5,HDD,Kelsey Olson,Repairs,20990,25255,Bank Transfer,411,2023-01-01,2023-01-31,0,2GB,451,Online,Low,4717,123,25220,1TB
Africa,Ghana,Volta,A & A PCs,8,MSI,P65 Creator,SSD,Kevin Lee,Second-hand Sales,22176,26293,Bank Transfer,234,2023-10-17,,0,2GB,520,Offline,Low,0,47,25546,256GB
Africa,Kenya,Makueni,S & A Computer Place,10,Acer,Spin 5,SSD,Christopher Santos,New Sales,20865,24690,Finance,915,2021-12-12,2022-01-04,10464,4GB,671,Online,Medium,0,694,23277,1TB
North America,New York,Binghamton,CK Tech Store,3,Dell,G Series,HDD,Natalie Jimenez,New Sales,16136,18675,Cash,859,2023-02-22,2023-03-17,0,8GB,725,Online,Medium,0,613,18288,256GB
Africa,Angola,Cuando Cubango,CK Tech Store,9,Apple,Apple iMac,SSD,Hector Robertson,Returns,11762,15876,Cash,923,2023-12-18,2024-01-12,0,2GB,509,Online,Medium,0,825,12605,500GB
North America,California,San Jose,XYZ Tech,3,Apple,Apple Mac Pro,SSD,Sean Rodriguez,Second-hand Sales,7121,10387,Bank Transfer,394,2022-06-28,2022-07-24,0,2GB,621,Online,Medium,0,772,8390,256GB
North America,Pennsylvania,Lebanon,Mini Tech,8,Microsoft,Surface Laptop,HDD,Julia Dodson,Returns,3601,6262,Finance,997,2021-06-06,2021-06-18,29919,2GB,465,Online,High,0,971,5977,256GB
North America,California,San Jose,DEF Machines,4,Dell,Vostro,SSD,Andrew Miranda,Returns,22149,26540,Cash,733,2021-10-26,,0,8GB,645,Offline,Low,0,324,24313,500GB
North America,Georgia,Macon,Frankies Hardware and Software,7,Acer,Predator Helios 300,SSD,Rebecca Brown,New Sales,23823,28231,Bank Transfer,779,2023-04-26,,0,16GB,609,Offline,Low,0,413,27083,256GB
Africa,Egypt,Matrouh,LJ Computers,1,Lenovo,ThinkPad X13 Yoga,HDD,Michael Gibson,New Sales,12847,14930,Finance,705,2023-09-28,,46356,4GB,761,Offline,Medium,0,759,14149,500GB
North America,Florida,Davie,GH PC Shop,3,HP,Stream,HDD,William Macdonald,Returns,20012,23066,Cash,415,2021-07-08,2021-07-15,0,16GB,498,Online,Low,0,174,20606,500GB
North America,New York,Syracuse,Frankies Hardware and Software,8,Asus,ROG Strix Scar III,HDD,Kelsey Olson,Returns,3913,8584,Bank Transfer,316,2023-04-11,2023-04-30,0,8GB,652,Online,Medium,0,98,6082,1TB
North America,Florida,West Palm Beach,A & A PCs,2,HP,Envy,HDD,Deborah Anderson MD,Second-hand Sales,24371,27551,Cash,15,2023-12-17,2023-12-24,0,2GB,821,Online,Low,0,252,26459,256GB
Africa,Tanzania,Tabora,Western International PCs,6,Microsoft,Surface Hub,HDD,Corey Rasmussen,New Sales,26475,29974,Cash,906,2022-02-10,2022-02-25,0,2GB,757,Online,High,0,914,28915,1TB
North America,California,Modesto,Benjis Tech,3,Toshiba,Portege,HDD,Larry Smith,Returns,14781,18883,Bank Transfer,841,2023-10-16,2023-10-20,0,4GB,699,Online,High,0,429,18622,1TB
Africa,Nigeria,Adamawa,XYZ Tech,7,Acer,Aspire E 15,SSD,Timothy Leach,Repairs,12197,15158,Finance,770,2023-08-30,2023-09-29,7222,2GB,453,Online,Medium,2268,142,15079,256GB
Africa,Kenya,Taita-Taveta,ABC Computers,2,Dell,Alienware,HDD,Cassandra Mcmillan,Second-hand Sales,20189,22913,Bank Transfer,910,2022-01-15,2022-02-02,0,8GB,765,Online,High,0,755,21466,1TB
North America,North Carolina,Charlotte,S & A Computer Place,7,HP,Spectre,HDD,Robert Wood,Repairs,25555,30055,Bank Transfer,887,2021-08-23,2021-08-25,0,16GB,555,Online,Low,3741,173,25609,1TB
Africa,South Africa,Mpumalanga,Jacks Hardware,5,HP,Elitebook,SSD,Mrs. Barbara Davenport,Second-hand Sales,16881,20979,Finance,668,2024-01-09,2024-01-12,14012,16GB,503,Online,High,0,791,18146,1TB
Africa,Kenya,Migori,GH PC Shop,8,Acer,Predator Helios 300,SSD,Jeffrey Cook,New Sales,23040,26135,Bank Transfer,696,2021-03-16,,0,2GB,727,Offline,High,0,702,24992,1TB
North America,Florida,Tallahassee,GH PC Shop,9,Toshiba,Libretto,HDD,Raymond Larson,New Sales,14469,17833,Cash,331,2023-01-15,,0,2GB,505,Offline,High,0,130,17629,500GB
Africa,Botswana,North-East,Frankies Hardware and Software,4,Apple,Apple Lisa,HDD,Lisa Williams,Second-hand Sales,28966,32610,Finance,40,2023-11-08,2023-12-05,27288,4GB,582,Online,High,0,86,29256,256GB
North America,Ohio,Springfield,XYZ Tech,4,MSI,Alpha 15,SSD,Diamond Baker,Returns,27582,31801,Finance,769,2023-11-23,2023-12-21,48070,2GB,735,Online,Medium,0,301,27723,500GB
North America,California,Anaheim,Jacks Hardware,10,MSI,Modern 15,HDD,Andrew Miranda,New Sales,27749,31849,Bank Transfer,924,2022-03-07,,0,2GB,765,Offline,Low,0,641,31848,500GB
North America,Michigan,Troy,Benjis Tech,10,MSI,Alpha 15,SSD,Casey Dunn,New Sales,4766,8559,Cash,154,2023-04-09,2023-05-06,0,4GB,701,Online,Low,0,281,7451,256GB
Africa,Kenya,Kisii,ABC Computers,3,Apple,Apple iMac,SSD,David Ellis,Second-hand Sales,15695,18115,Bank Transfer,995,2023-12-09,2024-01-03,0,8GB,624,Online,Low,0,52,17199,1TB
Africa,Tanzania,Katavi,Mini Tech,3,Acer,Chromebook Spin 311,HDD,Mitchell Atkins,New Sales,27252,32062,Finance,924,2022-03-31,2022-04-08,5202,16GB,502,Online,Low,0,456,27366,500GB
Africa,Ghana,Brong-Ahafo,KyaSand Tech Gadgets,4,Samsung,Galaxy Book S,HDD,Jonathan Miller,Returns,24544,27856,Finance,969,2022-03-08,,19753,4GB,438,Offline,Medium,0,32,27347,256GB
North America,Illinois,Tinley Park,ABC Computers,3,HP,Envy,SSD,Glenda Cohen,Returns,22615,25636,Cash,835,2021-09-01,2021-09-18,0,4GB,511,Online,Medium,0,59,25259,1TB
North America,California,Santa Ana,S & A Computer Place,10,Acer,Spin 5,HDD,Alyssa Martinez,Second-hand Sales,21877,26655,Finance,418,2023-07-06,,33812,16GB,821,Offline,High,0,335,25027,1TB
North America,Illinois,Berwyn,KyaSand Tech Gadgets,8,Microsoft,Surface Studio,SSD,Katie Fernandez,Repairs,25396,28182,Cash,820,2023-09-04,,0,16GB,664,Offline,High,3652,413,27160,1TB
Africa,Ghana,Volta,ABC Computers,9,Lenovo,IdeaPad Flex 5,HDD,Jessica Morgan,Repairs,18148,21599,Finance,432,2022-08-10,,5739,16GB,749,Offline,Medium,4974,272,20218,1TB
Africa,Botswana,South-East,Benjis Tech,1,Toshiba,Chromebook,SSD,Sarah Riley,Second-hand Sales,23956,28197,Finance,222,2022-10-03,,19954,8GB,512,Offline,Low,0,72,27604,256GB
North America,Illinois,Orland Park,CK Tech Store,6,Samsung,Notebook Flash,HDD,Jason Phillips,Repairs,11659,15641,Bank Transfer,629,2023-02-28,2023-03-25,0,8GB,519,Online,Low,2749,332,12396,1TB
North America,California,Anaheim,Western International PCs,6,MSI,Modern 15,HDD,Andrew Miranda,Second-hand Sales,14242,17012,Cash,556,2023-02-04,2023-02-19,0,8GB,416,Online,Medium,0,223,14299,500GB
Africa,Morocco,Agadir-Ida Ou Tanane,ABC Computers,6,Dell,Latitude,HDD,Emma Scott,Returns,13331,17317,Bank Transfer,300,2022-10-11,2022-10-26,0,2GB,435,Online,High,0,645,15946,500GB
North America,New York,New York,CK Tech Store,5,Asus,Chromebook Flip C434,HDD,Sean Guerrero,Returns,11318,13634,Cash,945,2023-03-19,2023-04-01,0,4GB,687,Online,High,0,179,12829,256GB
Africa,Tanzania,Ruvuma,Ricks Computers,1,Asus,ROG Zephyrus S GX701,HDD,David Osborn,Returns,8211,10214,Finance,240,2023-02-11,2023-03-07,12045,4GB,426,Online,Medium,0,309,8286,1TB
Africa,Ghana,Upper East,KyaSand Tech Gadgets,5,Acer,Aspire 7,SSD,Kevin Lee,New Sales,11354,15642,Cash,651,2023-10-26,,0,8GB,682,Offline,Medium,0,64,14269,500GB
Africa,Angola,Lunda Norte,Greens Laptops and PCs,8,Microsoft,Surface Laptop,SSD,Lori Anderson,New Sales,22857,26615,Bank Transfer,829,2022-12-06,,0,4GB,694,Offline,High,0,654,26126,256GB
Africa,Morocco,Fes,Western International PCs,2,Acer,Aspire 7,SSD,Adam Schwartz,Repairs,2614,5464,Cash,392,2022-12-18,,0,4GB,573,Offline,Medium,1063,571,4728,1TB
North America,Texas,Laredo,DEF Machines,1,MSI,P65 Creator,SSD,Ashley Wright,New Sales,15217,17224,Cash,36,2022-10-14,,0,2GB,845,Offline,Low,0,950,16306,1TB
Africa,Morocco,Taroudant,Greens Laptops and PCs,4,Microsoft,Surface Neo,SSD,Emma Scott,New Sales,3538,6982,Cash,582,2024-01-27,,0,8GB,626,Offline,High,0,902,5316,500GB
North America,Michigan,Holland,ABC Computers,7,HP,Chromebook,SSD,Erika Larsen,Repairs,23335,25556,Cash,189,2022-02-03,,0,4GB,655,Offline,Medium,2017,725,25390,256GB
North America,Georgia,Alpharetta,Jacks Hardware,9,Toshiba,Qosmio,HDD,Christine Ramirez,Returns,17800,21632,Cash,297,2021-08-05,,0,16GB,481,Offline,Medium,0,272,19515,500GB
North America,Illinois,Hoffman Estates,KyaSand Tech Gadgets,4,Microsoft,Surface Laptop,SSD,Katie Fernandez,New Sales,20796,25204,Bank Transfer,679,2022-10-03,2022-10-30,0,16GB,427,Online,Medium,0,213,24642,500GB
North America,Ohio,Westerville,DEF Machines,9,Toshiba,Portege,SSD,Mr. Nathan Douglas,New Sales,21871,25022,Cash,402,2022-01-19,2022-02-06,0,4GB,722,Online,Medium,0,401,22692,1TB
Africa,Angola,Benguela,A & A PCs,6,Dell,Precision,HDD,Hector Robertson,Repairs,22857,25277,Finance,919,2022-12-02,,34908,8GB,602,Offline,Low,3842,998,23624,500GB
Africa,Tanzania,Pemba Kaskazini,LJ Computers,4,Apple,Apple MacBook Air,HDD,Alicia Evans,Repairs,24114,27842,Bank Transfer,574,2021-08-15,2021-09-01,0,8GB,448,Online,Medium,3477,470,26456,500GB
Africa,Angola,Benguela,Western International PCs,5,Dell,Precision,SSD,Hector Robertson,New Sales,15648,20572,Finance,963,2022-11-03,,27301,2GB,412,Offline,High,0,200,19439,256GB
North America,Pennsylvania,Bethlehem,Ricks Computers,5,Samsung,Notebook 9 Pro,SSD,Carl Davis,Second-hand Sales,11611,15028,Bank Transfer,320,2021-08-17,,0,4GB,553,Offline,Low,0,239,11928,256GB
Africa,Angola,Huambo,Benjis Tech,8,HP,Elitebook,SSD,James Thornton,Second-hand Sales,18090,22909,Finance,163,2022-09-18,,15733,4GB,587,Offline,High,0,739,21669,256GB
Africa,Kenya,Turkana,DEF Machines,5,Apple,Apple MacBook Pro,SSD,Cassandra Mcmillan,New Sales,26229,29903,Cash,382,2021-04-20,,0,4GB,587,Offline,High,0,755,27454,256GB
Africa,Angola,Namibe,ABC Computers,10,Microsoft,Surface Book,SSD,Kimberly Duncan,New Sales,13273,15898,Finance,130,2022-02-27,,41654,8GB,430,Offline,High,0,398,14050,256GB
Africa,Morocco,Assa-Zag,Ricks Computers,2,Asus,ROG Zephyrus S GX701,HDD,Adam Schwartz,Second-hand Sales,25222,30012,Bank Transfer,601,2023-09-28,,0,8GB,679,Offline,Low,0,274,28936,1TB
